Subject_id,offer_id,email_subject
62,113,"No Medical Exam! Lock-in Coverage with Fidelity Life. "
63,113,"No Waiting! Fast Coverage with RAPIDecision?? Life. "
64,113,"Fast Quote, No Exam. Save up to 70% with new rates. "
65,113,"So Many Reasons to Get Coverage with New Rates"
66,113,"Quick life insurance quote"
67,113,"Your Life Insurance Quote. No waiting. No exam. "
68,113,"Term Life Special: Get Coverage up to $1 Million!"
69,113,"Get Life insurance from home. No-exam options"
70,113,"Get Fidelity Life insurance from home. No-exam options!"
71,113,"Season of Saving! Save up to 70% on Life Insurance Today"
72,113,"Save up to 70% on Life Insurance, Today"
73,113,"$250k in Coverage with Low Payments"
74,113,"$500k in Life Insurance Coverage - Low Monthly Payment"
75,113,"$750k Life Insurance Coverage. No exam options. "
76,113,"Coverage as low as $15/Mo"
77,113,"$250,000 of Term Life Coverage for as low as $15/Mo"
78,113,"Life Insurance Quotes Instantly"
79,113,"Get Matched with the Best Life Insurance Rates! "
80,113,"Life Coverage Rates, up to 70% in savings"
81,113,"No Obligation Life Insurance Quotes"
82,113,"Term life coverage, protect your familys future."
83,113,"Save on Life Insurance in just 2 Minutes"
84,113,"$500k in Term Life coverage - Apply in minutes"
85,113,"$500k in Term Life coverage - No waiting"
86,113,"Term Life as low as $15/Mo. Get the Details here."
87,113,"Best Life Insurance Rates In Your State"
88,113,"The Next 30 Seconds Could Save You Hundreds"
91,113,"**Memorial Day (you are allowed to add the Memorial Day to the approved subject line)**"
92,113,"Remember the important things, Protect Your Family with Life Insurance."
93,113,"Memorial Day- Save up to 70% on Life Insurance in Minutes"
94,113,"Memorial Day, Get $250,000 of Term Life Insurance as low as $15/Mo"
96,113,"Great Rates on Life Insurance for Families. No-Exam options!"
97,113,"Save money on life insurance with Fidelity Life. Options with no medical exam!"
98,113,"No Medical Exam! Lock-in Coverage at the Lowest Possible Rates"
99,113,"No Waiting! Fast Coverage with RAPIDecision?? Life from Fidelity Life. No Exam!"
100,113,"Free Quote, No Exam. New low rates can save you up to 70%"
101,113,"RAPIDecision?? Life from Fidelity Life"
102,113,"Act Now! So Many Reasons to Get Coverage with these Great Rates"
103,113,"Quick life insurance quote  protect what matters!"
104,113,"Free Life Insurance Quote. No waiting."
105,113,"Term Life Special: Get up to $1 Million in Coverage!"
106,113,"Act now! Life insurance from home. No-exam options"
107,113,"Get Fidelity Life insurance from home. No-exam options!"
108,113,"Summers Here! Save up to 70% on Life Insurance Today"
109,113,"Summer is Here! Save up to 70% on Life Insurance Today"
110,113,"$250k Coverage Low Monthly Payments"
111,113,"$500k in Life Insurance Coverage - Low Monthly Payment"
112,113,"$750k in Life Insurance Coverage"
113,113,"Choose Fidelity Life for coverage as low as $15/Mo"
114,113,"Compare term life carrier rates from top providers"
115,113,"Get $250,000 of Term Life Coverage as low as $15/Mo"
116,113,"Get Life Insurance Quotes Instantly"
117,113,"Get Matched with the Best Insurance Rates! Life Insurance Quotes"
118,113,"Get Matched with the Best Life Insurance! Life Insurance"
119,113,"Get the best rates from top life insurance providers Life Insurance Pros"
120,113,"Life Coverage Rates, Save up to 70%"
121,113,"No Obligation Life Insurance Quotes in Minutes"
122,113,"Protect your family with affordable insurance"
123,113,"Protect your family with term life coverage"
124,113,"Save up to 70% on Life Insurance in just 2 Minutes"
125,113,"Save up to 70% on Life Insurance Now"
126,113,"Save up to 70% on Term Life Insurance"
127,113,"Term life - $500k in coverage - Apply in minutes"
128,113,"Term Life - $500k in coverage - Quotes in Minutes"
129,113,"Term Life - $500k in coverage, No Waiting"
130,113,"Term Life - Quotes for $500k in coverage in minutes"
131,113,"Term Life Coverage - Low Monthly Payments"
132,113,"Term Life Coverage as low as $15/Mo. Get the Details."
133,113,"The Best Life Insurance Rates In Your State"
134,113,"The Next 30 Seconds Could Save You Hundreds on Life Insurance"
135,113,"Top Life Insurance Carriers Offering Lower Rates!"
136,113,"Up to 70% off Term Life Coverage Now"
137,113,"Yikes - Get Covered Now Low Monthly Rate"
138,113,"Act now, Get $250,000 of Term Life Coverage as low as $15/Mo"
139,113,"Act now, Save up to 70% on Term Life Insurance"
140,113,"Protect Your Family with Term Life Insurance, Starting as low as $15/month!"
141,113,"Protect Your Family in 2018, Save up to 70% on Life Insurance"
142,113,"FREE QUOTE: Save Up To 70% On Life Insurance"
143,113,"FREE QUOTE: Save Up To 70% on Term Life Insurance"
144,114,"Sample subject"
145,115,"Sample subject"
146,116,"Sample subject"
147,117,"Save Miles On The Road And Cash in Your Pocket. Its Not A Myth"
148,117,"Stop Paying So Much For Gas!"
149,117,"Why are you still paying so much for gas?"
150,117,"This Device Saves You $$!"
151,117,"The future is here!"
152,117,"Stop paying so much for gas!"
153,117,"SAVE 20% ON FUEL TODAY!"
154,117,"SAVE 20% on fuel and make your car more efficient!"
155,117,"SAVE  ON FUEL - EcoFuel Pro is the most efficient fuel-saving device"
156,117,
157,118,"$50 Off Home Warranty - Expires in 24 Hours!"
158,118,"$50 Off Home Warranty Insurance Plans"
159,118,"$50 Savings Spree is On!"
160,118,"100% FREE price quote on home warranty-Respond Now!"
161,118,"100% Free price quotes on home warranty-Respond!"
162,118,"A few ways to save money on your next home repair expense."
163,118,"Appliance Insurance. First Month FREE. Get a Quite"
164,118,"Are You Prepared for Home Appliance Breakdowns?"
165,118,"Are Your Appliances Covered, Get a Home Warranty"
166,118,"Avoid the Hassles of Home Repair. Get Your First Month FREE!"
167,118,"Avoid the Hassles of Home Repair. Save $50 Now."
168,118,"Avoid the Hassles of Home Repairs"
169,118,"Avoid the Hassles of Home Repairs. Save $50 Now."
170,118,"Before It Breaks Down Get Covered"
171,118,"Best Home Warranty Coverage. First Month FREE. Limited Time."
172,118,"Choose A Home Protection Plan"
173,118,"Click here and save $50 on every home warranty!"
174,118,"Click Here and Save $50 on every warranty plan!"
175,118,"Comprehensive and affordable coverage"
176,118,"Do you want FREE coverage? Confirm ASAP!"
177,118,"Do you worry about unplanned home expenses? Search now home protection"
178,118,"Dont Wait for Breakdowns. Get Covered by a Home Warranty"
179,118,"Dont Wait For Your Heat to Break. Get a Home Warranty Now!"
180,118,"Eliminate Home Repair Bills Here!"
181,118,"Eliminate Home Repair Bills with a Home Warranty"
182,118,"Exclusive Offer: First Month FREE on Every Home Warranty"
183,118,"Exclusive Offer: First Month FREE on Every Home Warranty."
184,118,"Exclusive Offer: Save $50 on Every Home Warranty"
185,118,"Exclusive Offer: Save $50 on Every Home Warranty."
186,118,"Feel Secure with a Home Warranty Plan"
187,118,"First Month FREE on Comprehensive Home Warranty Coverage ."
188,118,"First Month FREE on Top Rated Home Warranty Coverage"
189,118,"Free Home Protection - Act Now"
190,118,"Free Home Warranty Quotes"
191,118,"Get a FREE Quote  plans for as low as $1/day"
192,118,"Get home warranty coverage it will change the way you think about home repairs"
193,118,"Get more coverage at a better price - free quotes now!"
194,118,"Get more home coverage at a better price - free quotes now!"
195,118,"Get TRUSTED Home Warranty Coverage Now!"
196,118,"Get Your Appliance Breakdowns Covered by a Home Warranty"
197,118,"have you heard of USA Home Protection, they covered it :) ."
198,118,"Home Protection Quote  FREE"
199,118,"Home Repair Guard - coverage, repair & more .."
200,118,"home warranty information will change the way you think about home repairs"
201,118,"Home Warranty Insurance Plans. $50 Off."
202,118,"Home Warranty Insurance Plans. First Month FREE"
203,118,"Home Warranty Insurance Plans. First Month FREE."
204,118,"home warranty plan: Search Now"
205,118,"Home Warranty Protection for your Family. $50 Savings. Limited Time."
206,118,"Home Warranty Protection for your Family. First Month FREE. Limited Time."
207,118,"Home Warranty Repair and Replacement Coverage. $50 Off. Limited Time."
208,118,"Home Warranty Repair and Replacement Coverage. First Month FREE. Limited Time."
209,118,"home warranty with a vast network of reputable home repair professionals"
210,118,"How to Cut Your Home Repair Bills"
211,118,"I saved a bundle on home expenses with my home warranty coverage"
212,118,"If Your A/C Were to Breakdown Could You Afford the Repair?"
213,118,"Improve your savings with home warranty coverage"
214,118,"Limited Time Offer - $50 off all home warranty plans"
215,118,"Love Your Home? See home warranty coverage"
216,118,"Never Pay For Covered Appliance Repairs Again. Save $50. Limited Time."
217,118,"Never Pay For Covered Home Repairs Again. First Month FREE. Limited Time."
218,118,"Never Pay For Covered Home Repairs Again. Save $50. Limited Time."
219,118,"Offer Extended, But Time is Running Out!"
220,118,"Protect Your Budget with a Home Warranty. Save $50. Limited Time."
221,118,"Protect Your Budget with a Home Warranty. First Month FREE. Limited Time."
222,118,"Protect your family and your budget"
223,118,"Protect Your Home and Save Money Now"
224,118,"Protect Your Home with a Home Warranty."
225,118,"Protect Your Home with a Home Warranty. First Month FREE. Save Now!"
226,118,"Protect Your Home With a Home Warranty. First Month FREE. Limited Time."
227,118,"Protect Your Home With a Home Warranty. Save $30. Limited Time."
228,62,"Confirmed: Your Fifty Dollar Ace Hardware Reward"
229,62,"Claim Your Fifty Dollar Ace Hardware Reward"
230,62,"Confirmed: Your Fifty Dollar Ace Hardware Offer"
231,62,"Confirmed: Your Fifty Dollar Ace Hardware Reward"
232,62,"Your Fifty Dollar Ace Hardware Offer Is Waiting"
233,62,"CONGRATS! You Can Get $50 Ace Hardware Rewards"
234,62,"Few People Know How to Save with Free Samples"
235,62,"Did you forget? Your $50 Ace Hardware Reward Is Waiting"
236,62,"Survey for a $50 Ace Hardware Reward. Participation Required."
237,62,"Ace Hardware Rewards - $50 Value. Participation Required"
238,62,"$50 Ace Hardware Reward. Participation Required"
239,62,"Extended for a day! Get Your $50 Reward..."
240,62,"Last Chance! Be Sure To Grab Your $50 Reward..."
241,62,"We Want Your Thoughts! Claim Your Fifty Dollar Ace Hardware Reward"
242,62,"Your Opinion is Important! Take This Survey to Claim Your $50 Ace Hardware Reward"
243,62,"$50 in Exclusive Rewards - Provide Your Opinion on Ace Hardware"
244,62,"30 Seconds Will Reward You With $50 in Exclusive Ace Hardware Rewards"
245,62,"Congratulations! An Ace Hardware reward has arrived!"
246,118,"Welcome To Never Paying For Covered Appliance Repairs Again. Save $50. Limited Time."
247,118,"Welcome To Never Paying For Covered Appliance Repairs Again. First Month FREE. Limited Time."
248,118,"Welcome To Never Paying For Covered Home Repairs Again. Save $50. Limited Time."
249,118,"Welcome To Home Warranty Insurance Plans. First Month FREE"
250,118,"Welcome To Your FREE Quote  plans for as low as $1/day"
251,118,"Welcome To Your Exclusive Offer: Save $50 on Every Home Warranty."
252,118,"Welcome To Your Exclusive Offer: First Month FREE on Every Home Warranty."
253,118,"Welcome To Avoiding the Hassles of Home Repairs. Save $50 Now."
254,118,"Welcome To Avoiding the Hassles of Home Repairs"
255,118,"Welcome To Avoiding the Hassles of Home Repair. Get Your First Month FREE!"
256,118,"Welcome To $50 Off Home Warranty Insurance Plans"
257,118,"Welcome To Protecting Your Home With a Home Warranty. Save $50. Limited Time."
258,118,"Welcome To Protecting Protecting Your Home With a Home Warranty. First Month FREE. Limited Time."
259,118,"Welcome To Eliminating Home Repair Bills Here!"
260,118,"Welcome To Eliminating Home Repair Bills with a Home Warranty"
261,118,"Welcome To Your Exclusive Offer: Save $50 on Every Home Warranty."
262,118,
263,116,"This Could Be You..."
264,64,"Your Credit Report Consultation is Just a Few Steps Away"
265,64,"Your Credit Resolution Inside"
266,64,"Access The Best Way to Fix Your Credit"
267,64,"The Answer to Fixing Your Credit"
268,116,"Please tell us where to send your bottle"
269,64,"Information on Your Credit Score"
270,64,"Regarding Your Credit Score"
271,64,"We Can Help Improve Your Score"
272,64,"Your Solution to Restoring Your Credit "
273,64,"Your Free Credit Score Analysis is Here!"
274,64,"Stressed About Your Credit Report?"
275,64,"10+ Years of Credit Repair Experience. "
276,64,"Review Your Credit Report for Free"
277,64,"Is Your Credit Report Accurate?"
278,64,"Your Credit Score Review"
279,64,"Why Wait? Resolve Your Credit Score"
280,64,"Use this Time at Home to Fix Your Credit"
281,64,"Rebuild Your Credit from Home"
282,64,"Get your Credit Report Consultation "
283,64,"Whats your credit costing you?"
284,116,"This Could Be You..."
285,116,"Urgent: Your Limited Time Discount Is Running Out"
286,116,"Find Out How This Harvard Student Lost 51lbs in 28 Days"
287,116,"Please tell us where to send your bottle"
288,116,"WANT TO LOSE WEIGHT?"
289,116,"Weight Loss News!"
290,116,"Want Fast Weight Loss? We have the answer!"
291,116,"You Can Definitely Lose Weight Without Excercise - Heres How!"
292,116,"Miracle Weight Loss Pill Sweeping The Nation"
293,116,"No Complicated Diet - I Still Lost Weight"
294,116,"The Easiest Way to Burn Belly Fat"
295,116,"Burning Belly Fat Has Never Been Easier..."
296,116,"I Lost 50lbs in 28 Days With This..."
297,116,"Burn Fat Without The Exercise "
298,116,"Burn Belly Fat Without The Exercise"
301,119,"Plan Your Getaway in 2022 with AARP. Join TodayVacation Ideas for Every Budget, Taste and Timeframe. Join AARP Today"
303,119,
304,119,"Check out this membership offer"
305,119,"Resources, tools and savings for anyone over 50"
306,119,"The benefits of growing older"
307,119,"Dont Miss Out on AARP Benefits Today. Millions Of People Have Already Joined!"
308,119,"Youre Invited Too: Over 38 Million Members Have Already Joined!"
309,119,"More Than 38 Million Members Have Joined This Membership Organization"
310,119,"Explore Programs from AARP"
311,119,
312,119,
313,68,"Get The Sleep Your Deserve - $250 Off, 100 Night Trial"
